match_id,date,kickoff_utc,phase,group,team_a,team_b,venue,score_a,score_b,played
1,2026-06-11,19:00,Group Stage,A,Mexico,South Africa,Mexico City Stadium,,,False
2,2026-06-12,02:00,Group Stage,A,Korea Republic,Czechia,Guadalajara Stadium,,,False
3,2026-06-12,19:00,Group Stage,B,Canada,Bosnia and Herzegovina,Toronto Stadium,,,False
4,2026-06-13,01:00,Group Stage,D,USA,Paraguay,Los Angeles Stadium,,,False
5,2026-06-14,01:00,Group Stage,C,Haiti,Scotland,Boston Stadium,,,False
6,2026-06-14,04:00,Group Stage,D,Australia,Türkiye,BC Place Vancouver,,,False
7,2026-06-13,22:00,Group Stage,C,Brazil,Morocco,New York/New Jersey Stadium,,,False
8,2026-06-13,19:00,Group Stage,B,Qatar,Switzerland,San Francisco Bay Area Stadium,,,False
9,2026-06-14,23:00,Group Stage,E,Côte d'Ivoire,Ecuador,Philadelphia Stadium,,,False
10,2026-06-14,17:00,Group Stage,E,Germany,Curaçao,Houston Stadium,,,False
11,2026-06-14,20:00,Group Stage,F,Netherlands,Japan,Dallas Stadium,,,False
12,2026-06-15,02:00,Group Stage,F,Sweden,Tunisia,Monterrey Stadium,,,False
13,2026-06-15,22:00,Group Stage,H,Saudi Arabia,Uruguay,Miami Stadium,,,False
14,2026-06-15,16:00,Group Stage,H,Spain,Cabo Verde,Atlanta Stadium,,,False
15,2026-06-16,01:00,Group Stage,G,IR Iran,New Zealand,Los Angeles Stadium,,,False
16,2026-06-15,19:00,Group Stage,G,Belgium,Egypt,Seattle Stadium,,,False
17,2026-06-16,19:00,Group Stage,I,France,Senegal,New York/New Jersey Stadium,,,False
18,2026-06-16,22:00,Group Stage,I,Iraq,Norway,Boston Stadium,,,False
19,2026-06-17,01:00,Group Stage,J,Argentina,Algeria,Kansas City Stadium,,,False
20,2026-06-17,04:00,Group Stage,J,Austria,Jordan,San Francisco Bay Area Stadium,,,False
21,2026-06-17,23:00,Group Stage,L,Ghana,Panama,Toronto Stadium,,,False
22,2026-06-17,20:00,Group Stage,L,England,Croatia,Dallas Stadium,,,False
23,2026-06-17,17:00,Group Stage,K,Portugal,Congo DR,Houston Stadium,,,False
24,2026-06-18,02:00,Group Stage,K,Uzbekistan,Colombia,Mexico City Stadium,,,False
25,2026-06-18,16:00,Group Stage,A,Czechia,South Africa,Atlanta Stadium,,,False
26,2026-06-18,19:00,Group Stage,B,Switzerland,Bosnia and Herzegovina,Los Angeles Stadium,,,False
27,2026-06-18,22:00,Group Stage,B,Canada,Qatar,BC Place Vancouver,,,False
28,2026-06-19,01:00,Group Stage,A,Mexico,Korea Republic,Guadalajara Stadium,,,False
29,2026-06-20,01:00,Group Stage,C,Brazil,Haiti,Philadelphia Stadium,,,False
30,2026-06-19,22:00,Group Stage,C,Scotland,Morocco,Boston Stadium,,,False
31,2026-06-20,04:00,Group Stage,D,Türkiye,Paraguay,San Francisco Bay Area Stadium,,,False
32,2026-06-19,19:00,Group Stage,D,USA,Australia,Seattle Stadium,,,False
33,2026-06-20,20:00,Group Stage,E,Germany,Côte d'Ivoire,Toronto Stadium,,,False
34,2026-06-21,00:00,Group Stage,E,Ecuador,Curaçao,Kansas City Stadium,,,False
35,2026-06-20,17:00,Group Stage,F,Netherlands,Sweden,Houston Stadium,,,False
36,2026-06-21,04:00,Group Stage,F,Tunisia,Japan,Monterrey Stadium,,,False
37,2026-06-21,22:00,Group Stage,H,Uruguay,Cabo Verde,Miami Stadium,,,False
38,2026-06-21,16:00,Group Stage,H,Spain,Saudi Arabia,Atlanta Stadium,,,False
39,2026-06-21,19:00,Group Stage,G,Belgium,IR Iran,Los Angeles Stadium,,,False
40,2026-06-22,01:00,Group Stage,G,New Zealand,Egypt,BC Place Vancouver,,,False
41,2026-06-23,00:00,Group Stage,I,Norway,Senegal,New York/New Jersey Stadium,,,False
42,2026-06-22,21:00,Group Stage,I,France,Iraq,Philadelphia Stadium,,,False
43,2026-06-22,17:00,Group Stage,J,Argentina,Austria,Dallas Stadium,,,False
44,2026-06-23,03:00,Group Stage,J,Jordan,Algeria,San Francisco Bay Area Stadium,,,False
45,2026-06-23,20:00,Group Stage,L,England,Ghana,Boston Stadium,,,False
46,2026-06-23,23:00,Group Stage,L,Panama,Croatia,Toronto Stadium,,,False
47,2026-06-23,17:00,Group Stage,K,Portugal,Uzbekistan,Houston Stadium,,,False
48,2026-06-24,02:00,Group Stage,K,Colombia,Congo DR,Guadalajara Stadium,,,False
49,2026-06-24,22:00,Group Stage,C,Scotland,Brazil,Miami Stadium,,,False
50,2026-06-24,22:00,Group Stage,C,Morocco,Haiti,Atlanta Stadium,,,False
51,2026-06-24,19:00,Group Stage,B,Switzerland,Canada,BC Place Vancouver,,,False
52,2026-06-24,19:00,Group Stage,B,Bosnia and Herzegovina,Qatar,Seattle Stadium,,,False
53,2026-06-25,01:00,Group Stage,A,Czechia,Mexico,Mexico City Stadium,,,False
54,2026-06-25,01:00,Group Stage,A,South Africa,Korea Republic,Monterrey Stadium,,,False
55,2026-06-25,20:00,Group Stage,E,Curaçao,Côte d'Ivoire,Philadelphia Stadium,,,False
56,2026-06-25,20:00,Group Stage,E,Ecuador,Germany,New York/New Jersey Stadium,,,False
57,2026-06-25,23:00,Group Stage,F,Japan,Sweden,Dallas Stadium,,,False
58,2026-06-25,23:00,Group Stage,F,Tunisia,Netherlands,Kansas City Stadium,,,False
59,2026-06-26,02:00,Group Stage,D,Türkiye,USA,Los Angeles Stadium,,,False
